DOI,year,donor,donor_smiles,donor_coreferents,fullerene_acceptor,acceptor,acceptor_smiles,acceptor_coreferents,power conversion efficiency,open circuit voltage,short circuit current,fill factor,property_metadata
10.1016/j.orgel.2017.06.011,2017.69315068493,PSBT-FTT,[*]c9cc8c(c2ccc(c1ccc(SCCC(CCCCCC)CCCCCCCC)cc1)s2)c5sc(c3sc([*])c4c(F)c(C(=O)OCC(CC)CCCC)sc34)cc5c(c7ccc(c6ccc(SCC(CCCCCC)CCCCCCCC)cc6)s7)c8s9,"['PSBT-FTT', 'PSB-FTT']",1,PC_{71}BM,,[],"=""4.83 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 111, ""entity_end"": 111, ""property_value_start"": 123, ""property_value_end"": 124, ""property_numeric_value"": 4.83, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.solmat.2017.10.020,2017.17260273973,P3HT,[*]C1C=C(CCCCCC)C([*])S1,"['poly(3-hexylthiophene)', 'P3HT', 'P3HT']",1,PC_{71}BM,,[],"=""0.87-4.01 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCEs"", ""entity_start"": 80, ""entity_end"": 80, ""property_value_start"": 86, ""property_value_end"": 89, ""property_numeric_value"": 2.44, ""property_unit"": ""%"", ""property_value_descriptor"": ""-""}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1002/pola.28887,2017.84383561644,P3HT,[*]C1C=C(CCCCCC)C([*])S1,"['poly(3-hexylthiophene)', 'P3HT']",1,PC_{61}BM,,['PC_{61}BM'],"=""3.33 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 130, ""entity_end"": 132, ""property_value_start"": 151, ""property_value_end"": 152, ""property_numeric_value"": 3.33, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {""entity_name"": ""hole mobility"", ""entity_start"": 66, ""entity_end"": 67, ""property_value_start"": 69, ""property_value_end"": 74, ""property_numeric_value"": 0.39, ""property_unit"": ""cm^{2} V^{-1} s^{-1}"", ""property_value_descriptor"": """"}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.jcis.2018.10.013,2018.10136986301,PCDTBT,[*]c7ccc6c5ccc(c4ccc(c2ccc(c1ccc([*])s1)c3nsnc23)s4)cc5n(C(CCCCCCCC)CCCCCCCC)c6c7,['PCDTBT'],1,PC_{71}BM,,[],"=""7.05 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 188, ""entity_end"": 190, ""property_value_start"": 192, ""property_value_end"": 193, ""property_numeric_value"": 7.05, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1007/s10854-018-0127-5,2018.7698630137,PTB7,[*]c5cc4c(OCC(CC)CCCC)c3sc(c1sc([*])c2c(F)c(C(=O)OCC(CC)CCCC)sc12)cc3c(OCC(CC)CCCC)c4s5,['PTB7'],1,PC_{71}BM,,['PC_{71}BM'],"=""5.66 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 193, ""entity_end"": 193, ""property_value_start"": 208, ""property_value_end"": 209, ""property_numeric_value"": 5.66, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.electacta.2017.11.085,2017.95890410959,P3HT,[*]C1C=C(CCCCCC)C([*])S1,['P3HT'],1,ICBA,,['ICBA'],"=""6.49 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 58, ""entity_end"": 58, ""property_value_start"": 66, ""property_value_end"": 67, ""property_numeric_value"": 6.49, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1002/pola.28904,2017.87945205479,P2,,['P2'],1,PC_{71}BM,,['PC_{71}BM'],,,,,"{""power conversion efficiency"": {}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {""entity_name"": ""optical bandgaps"", ""entity_start"": 57, ""entity_end"": 58, ""property_value_start"": 60, ""property_value_end"": 60, ""property_numeric_value"": 1.54, ""property_unit"": ""eV"", ""property_value_descriptor"": """"}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1002/pola.28904,2017.87945205479,P1,,"['P1', 'P1-based']",1,PC_{71}BM,,['PC_{71}BM'],"=""6.57 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 168, ""entity_end"": 168, ""property_value_start"": 174, ""property_value_end"": 175, ""property_numeric_value"": 6.57, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {""entity_name"": ""optical bandgaps"", ""entity_start"": 57, ""entity_end"": 58, ""property_value_start"": 62, ""property_value_end"": 63, ""property_numeric_value"": 1.62, ""property_unit"": ""eV"", ""property_value_descriptor"": """"}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1002/pat.4202,2017.87945205479,P3HT,[*]C1C=C(CCCCCC)C([*])S1,"['poly(3-hexylthiophene)', 'P3HT']",1,PC_{61}BM,,"['[6,6]-phenyl-C_{61}-butyricacid methyl ester', 'PC_{61}BM']","=""3.75 %""",,"=""10.11 mA*cm^{-2}""",,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 54, ""entity_end"": 54, ""property_value_start"": 63, ""property_value_end"": 64, ""property_numeric_value"": 3.75, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {""entity_name"": ""Jsc"", ""entity_start"": 104, ""entity_end"": 104, ""property_value_start"": 109, ""property_value_end"": 111, ""property_numeric_value"": 10.11, ""property_unit"": ""mA*cm^{-2}"", ""property_value_descriptor"": """"}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1039/c7tc05055k,2017.90684931507,PTB7,[*]c5cc4c(OCC(CC)CCCC)c3sc(c1sc([*])c2c(F)c(C(=O)OCC(CC)CCCC)sc12)cc3c(OCC(CC)CCCC)c4s5,['PTB7'],1,PC_{71}BM,,['PC_{71}BM'],"=""9.19 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 177, ""entity_end"": 179, ""property_value_start"": 182, ""property_value_end"": 183, ""property_numeric_value"": 9.19, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
